Episode 9200/100000 | Avg Score: 19372.24 | Success Rate: 0.31
Episode 9300/100000 | Avg Score: 18605.84 | Success Rate: 0.31
Episode 9400/100000 | Avg Score: 20477.72 | Success Rate: 0.39
Episode 9500/100000 | Avg Score: 17293.00 | Success Rate: 0.25
Episode 9600/100000 | Avg Score: 19165.44 | Success Rate: 0.32
Episode 9700/100000 | Avg Score: 19813.88 | Success Rate: 0.36
Episode 9800/100000 | Avg Score: 18340.88 | Success Rate: 0.30
Episode 9900/100000 | Avg Score: 19688.68 | Success Rate: 0.34
Episode 10000/100000 | Avg Score: 18615.16 | Success Rate: 0.34
Episode 10100/100000 | Avg Score: 19734.12 | Success Rate: 0.36
Episode 10200/100000 | Avg Score: 20039.28 | Success Rate: 0.36
Episode 10300/100000 | Avg Score: 19326.60 | Success Rate: 0.36
Episode 10400/100000 | Avg Score: 20094.40 | Success Rate: 0.37
Episode 10500/100000 | Avg Score: 20159.04 | Success Rate: 0.36
Episode 10600/100000 | Avg Score: 20382.04 | Success Rate: 0.42
Episode 10700/100000 | Avg Score: 17955.48 | Success Rate: 0.24
Episode 10800/100000 | Avg Score: 19940.52 | Success Rate: 0.33
Episode 10900/100000 | Avg Score: 20172.28 | Success Rate: 0.39
Episode 11000/100000 | Avg Score: 20082.20 | Success Rate: 0.35
Episode 11100/100000 | Avg Score: 19866.36 | Success Rate: 0.33
Episode 11200/100000 | Avg Score: 20522.56 | Success Rate: 0.39
Episode 11300/100000 | Avg Score: 18649.52 | Success Rate: 0.31
Episode 11400/100000 | Avg Score: 20989.00 | Success Rate: 0.44
Episode 11500/100000 | Avg Score: 20441.24 | Success Rate: 0.39
Episode 11600/100000 | Avg Score: 20346.12 | Success Rate: 0.38
Episode 11700/100000 | Avg Score: 20098.84 | Success Rate: 0.39
Episode 11800/100000 | Avg Score: 20427.12 | Success Rate: 0.41
Episode 11900/100000 | Avg Score: 20982.40 | Success Rate: 0.36
Episode 12000/100000 | Avg Score: 19977.32 | Success Rate: 0.39
Episode 12100/100000 | Avg Score: 20226.04 | Success Rate: 0.36
Episode 12200/100000 | Avg Score: 20560.24 | Success Rate: 0.40
Episode 12300/100000 | Avg Score: 19894.12 | Success Rate: 0.37
Episode 12400/100000 | Avg Score: 19911.04 | Success Rate: 0.39
Episode 12500/100000 | Avg Score: 21095.16 | Success Rate: 0.43
Episode 12600/100000 | Avg Score: 20720.64 | Success Rate: 0.46
Episode 12700/100000 | Avg Score: 20540.16 | Success Rate: 0.43
Episode 12800/100000 | Avg Score: 20276.12 | Success Rate: 0.41
Episode 12900/100000 | Avg Score: 22985.16 | Success Rate: 0.48
Episode 13000/100000 | Avg Score: 20971.40 | Success Rate: 0.39
Episode 13100/100000 | Avg Score: 21788.32 | Success Rate: 0.48
Episode 13200/100000 | Avg Score: 20959.44 | Success Rate: 0.41
Episode 13300/100000 | Avg Score: 22618.32 | Success Rate: 0.54
Episode 13400/100000 | Avg Score: 20559.16 | Success Rate: 0.40
Episode 13500/100000 | Avg Score: 21695.04 | Success Rate: 0.40
Episode 13600/100000 | Avg Score: 22912.81 | Success Rate: 0.49
Episode 13700/100000 | Avg Score: 19566.76 | Success Rate: 0.38
Episode 13800/100000 | Avg Score: 21153.76 | Success Rate: 0.42
Episode 13900/100000 | Avg Score: 20969.88 | Success Rate: 0.37
Episode 14000/100000 | Avg Score: 20255.84 | Success Rate: 0.36
Episode 14100/100000 | Avg Score: 21248.16 | Success Rate: 0.44
Episode 14200/100000 | Avg Score: 19434.72 | Success Rate: 0.40
Episode 14300/100000 | Avg Score: 22701.92 | Success Rate: 0.46
Episode 14400/100000 | Avg Score: 19470.72 | Success Rate: 0.34
Episode 14500/100000 | Avg Score: 18513.44 | Success Rate: 0.33
Episode 14600/100000 | Avg Score: 21272.04 | Success Rate: 0.39
Episode 14700/100000 | Avg Score: 22407.00 | Success Rate: 0.48
Episode 14800/100000 | Avg Score: 19521.92 | Success Rate: 0.37
Episode 14900/100000 | Avg Score: 20286.76 | Success Rate: 0.33
Episode 15000/100000 | Avg Score: 22415.16 | Success Rate: 0.47
Episode 15100/100000 | Avg Score: 22109.68 | Success Rate: 0.43
Episode 15200/100000 | Avg Score: 23973.92 | Success Rate: 0.43
Episode 15300/100000 | Avg Score: 20500.32 | Success Rate: 0.37
Episode 15400/100000 | Avg Score: 22264.40 | Success Rate: 0.47
Episode 15500/100000 | Avg Score: 20966.36 | Success Rate: 0.37
Episode 15600/100000 | Avg Score: 22706.24 | Success Rate: 0.50
Episode 15700/100000 | Avg Score: 22642.84 | Success Rate: 0.41
Episode 15800/100000 | Avg Score: 21147.88 | Success Rate: 0.41
Episode 15900/100000 | Avg Score: 22959.80 | Success Rate: 0.47
Episode 16000/100000 | Avg Score: 21145.48 | Success Rate: 0.49
Episode 16100/100000 | Avg Score: 21826.84 | Success Rate: 0.43
Episode 16200/100000 | Avg Score: 22393.64 | Success Rate: 0.47
Episode 16300/100000 | Avg Score: 19750.56 | Success Rate: 0.36
Episode 16400/100000 | Avg Score: 20772.40 | Success Rate: 0.43
Episode 16500/100000 | Avg Score: 20641.56 | Success Rate: 0.37
Episode 16600/100000 | Avg Score: 20319.88 | Success Rate: 0.39
Episode 16700/100000 | Avg Score: 21620.64 | Success Rate: 0.44
Episode 16800/100000 | Avg Score: 20782.28 | Success Rate: 0.38
Episode 16900/100000 | Avg Score: 21048.92 | Success Rate: 0.42
Episode 17000/100000 | Avg Score: 22038.88 | Success Rate: 0.48
Episode 17100/100000 | Avg Score: 20977.52 | Success Rate: 0.42
Episode 17200/100000 | Avg Score: 20808.16 | Success Rate: 0.39
Episode 17300/100000 | Avg Score: 23059.44 | Success Rate: 0.48
Episode 17400/100000 | Avg Score: 22070.96 | Success Rate: 0.41
Episode 17500/100000 | Avg Score: 20221.40 | Success Rate: 0.39
Episode 17600/100000 | Avg Score: 22487.92 | Success Rate: 0.48
Episode 17700/100000 | Avg Score: 22023.48 | Success Rate: 0.42
Episode 17800/100000 | Avg Score: 21217.20 | Success Rate: 0.43
Episode 17900/100000 | Avg Score: 23329.04 | Success Rate: 0.52
Episode 18000/100000 | Avg Score: 22071.64 | Success Rate: 0.47
Episode 18100/100000 | Avg Score: 22345.80 | Success Rate: 0.45
Episode 18200/100000 | Avg Score: 22815.88 | Success Rate: 0.48
Episode 18300/100000 | Avg Score: 22764.56 | Success Rate: 0.49
Episode 18400/100000 | Avg Score: 22299.12 | Success Rate: 0.46
Episode 18500/100000 | Avg Score: 21306.40 | Success Rate: 0.46
Episode 18600/100000 | Avg Score: 22371.52 | Success Rate: 0.46
Episode 18700/100000 | Avg Score: 20943.64 | Success Rate: 0.39
Episode 18800/100000 | Avg Score: 20804.36 | Success Rate: 0.45
Episode 18900/100000 | Avg Score: 21628.76 | Success Rate: 0.46
Episode 19000/100000 | Avg Score: 22879.00 | Success Rate: 0.51
Episode 19100/100000 | Avg Score: 24910.24 | Success Rate: 0.57
Episode 19200/100000 | Avg Score: 21080.12 | Success Rate: 0.43
Episode 19300/100000 | Avg Score: 22597.48 | Success Rate: 0.49
Episode 19400/100000 | Avg Score: 21320.08 | Success Rate: 0.47
Episode 19500/100000 | Avg Score: 21417.88 | Success Rate: 0.44
Episode 19600/100000 | Avg Score: 23479.56 | Success Rate: 0.55
Episode 19700/100000 | Avg Score: 23591.92 | Success Rate: 0.52
