Episode 9200/100000 | Avg Score: 10477.72 | Success Rate: 0.04
Episode 9300/100000 | Avg Score: 10431.40 | Success Rate: 0.01
Episode 9400/100000 | Avg Score: 10508.36 | Success Rate: 0.03
Episode 9500/100000 | Avg Score: 9389.00 | Success Rate: 0.01
Episode 9600/100000 | Avg Score: 10417.84 | Success Rate: 0.03
Episode 9700/100000 | Avg Score: 11117.84 | Success Rate: 0.05
Episode 9800/100000 | Avg Score: 10366.96 | Success Rate: 0.03
Episode 9900/100000 | Avg Score: 11256.16 | Success Rate: 0.04
Episode 10000/100000 | Avg Score: 9826.44 | Success Rate: 0.01
Episode 10100/100000 | Avg Score: 11016.84 | Success Rate: 0.01
Episode 10200/100000 | Avg Score: 10707.76 | Success Rate: 0.01
Episode 10300/100000 | Avg Score: 10638.68 | Success Rate: 0.04
Episode 10400/100000 | Avg Score: 10895.00 | Success Rate: 0.05
Episode 10500/100000 | Avg Score: 10585.64 | Success Rate: 0.02
Episode 10600/100000 | Avg Score: 11046.92 | Success Rate: 0.04
Episode 10700/100000 | Avg Score: 10709.24 | Success Rate: 0.04
Episode 10800/100000 | Avg Score: 11288.64 | Success Rate: 0.06
Episode 10900/100000 | Avg Score: 11195.28 | Success Rate: 0.02
Episode 11000/100000 | Avg Score: 11352.60 | Success Rate: 0.06
Episode 11100/100000 | Avg Score: 10988.36 | Success Rate: 0.04
Episode 11200/100000 | Avg Score: 11003.92 | Success Rate: 0.05
Episode 11300/100000 | Avg Score: 11542.88 | Success Rate: 0.05
Episode 11400/100000 | Avg Score: 11509.32 | Success Rate: 0.04
Episode 11500/100000 | Avg Score: 10952.60 | Success Rate: 0.04
Episode 11600/100000 | Avg Score: 10460.36 | Success Rate: 0.03
Episode 11700/100000 | Avg Score: 10983.36 | Success Rate: 0.02
Episode 11800/100000 | Avg Score: 9725.12 | Success Rate: 0.02
Episode 11900/100000 | Avg Score: 10040.44 | Success Rate: 0.01
Episode 12000/100000 | Avg Score: 11354.64 | Success Rate: 0.01
Episode 12100/100000 | Avg Score: 11643.60 | Success Rate: 0.02
Episode 12200/100000 | Avg Score: 11721.20 | Success Rate: 0.05
Episode 12300/100000 | Avg Score: 11210.28 | Success Rate: 0.04
Episode 12400/100000 | Avg Score: 10728.92 | Success Rate: 0.05
Episode 12500/100000 | Avg Score: 12143.44 | Success Rate: 0.11
Episode 12600/100000 | Avg Score: 11139.76 | Success Rate: 0.03
Episode 12700/100000 | Avg Score: 11960.20 | Success Rate: 0.03
Episode 12800/100000 | Avg Score: 12029.20 | Success Rate: 0.04
Episode 12900/100000 | Avg Score: 10514.32 | Success Rate: 0.06
Episode 13000/100000 | Avg Score: 11119.92 | Success Rate: 0.05
Episode 13100/100000 | Avg Score: 12392.32 | Success Rate: 0.06
Episode 13200/100000 | Avg Score: 11394.88 | Success Rate: 0.05
Episode 13300/100000 | Avg Score: 11334.40 | Success Rate: 0.03
Episode 13400/100000 | Avg Score: 12071.64 | Success Rate: 0.04
Episode 13500/100000 | Avg Score: 11445.24 | Success Rate: 0.05
Episode 13600/100000 | Avg Score: 11615.28 | Success Rate: 0.05
Episode 13700/100000 | Avg Score: 11236.28 | Success Rate: 0.04
Episode 13800/100000 | Avg Score: 12208.84 | Success Rate: 0.07
Episode 13900/100000 | Avg Score: 12383.68 | Success Rate: 0.06
Episode 14000/100000 | Avg Score: 11378.88 | Success Rate: 0.03
Episode 14100/100000 | Avg Score: 11543.12 | Success Rate: 0.08
Episode 14200/100000 | Avg Score: 12023.88 | Success Rate: 0.04
Episode 14300/100000 | Avg Score: 11573.44 | Success Rate: 0.08
Episode 14400/100000 | Avg Score: 12549.24 | Success Rate: 0.06
Episode 14500/100000 | Avg Score: 11653.44 | Success Rate: 0.05
Episode 14600/100000 | Avg Score: 11022.84 | Success Rate: 0.05
Episode 14700/100000 | Avg Score: 12924.56 | Success Rate: 0.10
Episode 14800/100000 | Avg Score: 11861.76 | Success Rate: 0.03
Episode 14900/100000 | Avg Score: 11424.12 | Success Rate: 0.02
Episode 15000/100000 | Avg Score: 11021.44 | Success Rate: 0.04
Episode 15100/100000 | Avg Score: 11715.44 | Success Rate: 0.04
Episode 15200/100000 | Avg Score: 12314.28 | Success Rate: 0.06
Episode 15300/100000 | Avg Score: 12170.60 | Success Rate: 0.05
Episode 15400/100000 | Avg Score: 11321.12 | Success Rate: 0.04
Episode 15500/100000 | Avg Score: 12516.76 | Success Rate: 0.07
Episode 15600/100000 | Avg Score: 12604.08 | Success Rate: 0.04
Episode 15700/100000 | Avg Score: 11354.84 | Success Rate: 0.01
Episode 15800/100000 | Avg Score: 12349.68 | Success Rate: 0.07
Episode 15900/100000 | Avg Score: 12473.92 | Success Rate: 0.07
Episode 16000/100000 | Avg Score: 12655.24 | Success Rate: 0.07
Episode 16100/100000 | Avg Score: 12235.36 | Success Rate: 0.07
Episode 16200/100000 | Avg Score: 12440.56 | Success Rate: 0.06
Episode 16300/100000 | Avg Score: 12356.84 | Success Rate: 0.08
Episode 16400/100000 | Avg Score: 13020.52 | Success Rate: 0.06
Episode 16500/100000 | Avg Score: 12392.12 | Success Rate: 0.04
Episode 16600/100000 | Avg Score: 11961.08 | Success Rate: 0.08
Episode 16700/100000 | Avg Score: 11910.20 | Success Rate: 0.06
Episode 16800/100000 | Avg Score: 12144.64 | Success Rate: 0.07
Episode 16900/100000 | Avg Score: 12557.32 | Success Rate: 0.09
Episode 17000/100000 | Avg Score: 12077.88 | Success Rate: 0.03
Episode 17100/100000 | Avg Score: 12206.80 | Success Rate: 0.07
Episode 17200/100000 | Avg Score: 12330.28 | Success Rate: 0.06
