Episode 9200/100000 | Avg Score: 11255.00 | Success Rate: 0.01
Episode 9300/100000 | Avg Score: 12150.08 | Success Rate: 0.05
Episode 9400/100000 | Avg Score: 11584.56 | Success Rate: 0.02
Episode 9500/100000 | Avg Score: 12087.52 | Success Rate: 0.05
Episode 9600/100000 | Avg Score: 12582.44 | Success Rate: 0.02
Episode 9700/100000 | Avg Score: 13890.40 | Success Rate: 0.10
Episode 9800/100000 | Avg Score: 13285.64 | Success Rate: 0.10
Episode 9900/100000 | Avg Score: 12755.88 | Success Rate: 0.08
Episode 10000/100000 | Avg Score: 11474.68 | Success Rate: 0.01
Episode 10100/100000 | Avg Score: 13156.84 | Success Rate: 0.04
Episode 10200/100000 | Avg Score: 12880.36 | Success Rate: 0.08
Episode 10300/100000 | Avg Score: 12986.84 | Success Rate: 0.09
Episode 10400/100000 | Avg Score: 11880.88 | Success Rate: 0.03
Episode 10500/100000 | Avg Score: 12532.52 | Success Rate: 0.03
Episode 10600/100000 | Avg Score: 12043.84 | Success Rate: 0.07
Episode 10700/100000 | Avg Score: 12807.36 | Success Rate: 0.05
Episode 10800/100000 | Avg Score: 13758.12 | Success Rate: 0.10
Episode 10900/100000 | Avg Score: 13393.92 | Success Rate: 0.10
Episode 11000/100000 | Avg Score: 12763.92 | Success Rate: 0.07
Episode 11100/100000 | Avg Score: 13434.40 | Success Rate: 0.05
Episode 11200/100000 | Avg Score: 12370.16 | Success Rate: 0.04
Episode 11300/100000 | Avg Score: 12317.92 | Success Rate: 0.09
Episode 11400/100000 | Avg Score: 12934.16 | Success Rate: 0.07
Episode 11500/100000 | Avg Score: 12748.04 | Success Rate: 0.09
Episode 11600/100000 | Avg Score: 13194.88 | Success Rate: 0.07
Episode 11700/100000 | Avg Score: 12660.48 | Success Rate: 0.07
Episode 11800/100000 | Avg Score: 13847.12 | Success Rate: 0.07
Episode 11900/100000 | Avg Score: 13236.84 | Success Rate: 0.06
Episode 12000/100000 | Avg Score: 12868.36 | Success Rate: 0.05
Episode 12100/100000 | Avg Score: 13368.80 | Success Rate: 0.05
Episode 12200/100000 | Avg Score: 13275.40 | Success Rate: 0.05
Episode 12300/100000 | Avg Score: 13698.16 | Success Rate: 0.09
Episode 12400/100000 | Avg Score: 13229.40 | Success Rate: 0.09
Episode 12500/100000 | Avg Score: 12826.28 | Success Rate: 0.06
Episode 12600/100000 | Avg Score: 14343.00 | Success Rate: 0.12
Episode 12700/100000 | Avg Score: 13113.24 | Success Rate: 0.06
Episode 12800/100000 | Avg Score: 15135.04 | Success Rate: 0.12
Episode 12900/100000 | Avg Score: 13794.64 | Success Rate: 0.12
Episode 13000/100000 | Avg Score: 13559.36 | Success Rate: 0.09
Episode 13100/100000 | Avg Score: 12050.60 | Success Rate: 0.06
Episode 13200/100000 | Avg Score: 13315.68 | Success Rate: 0.08
Episode 13300/100000 | Avg Score: 13380.72 | Success Rate: 0.09
Episode 13400/100000 | Avg Score: 13018.68 | Success Rate: 0.07
Episode 13500/100000 | Avg Score: 13928.88 | Success Rate: 0.13
Episode 13600/100000 | Avg Score: 14403.72 | Success Rate: 0.16
Episode 13700/100000 | Avg Score: 14138.04 | Success Rate: 0.11
Episode 13800/100000 | Avg Score: 14049.96 | Success Rate: 0.09
Episode 13900/100000 | Avg Score: 13588.56 | Success Rate: 0.11
Episode 14000/100000 | Avg Score: 13191.92 | Success Rate: 0.07
Episode 14100/100000 | Avg Score: 13561.24 | Success Rate: 0.13
Episode 14200/100000 | Avg Score: 14337.80 | Success Rate: 0.15
Episode 14300/100000 | Avg Score: 13756.32 | Success Rate: 0.06
Episode 14400/100000 | Avg Score: 14265.28 | Success Rate: 0.08
Episode 14500/100000 | Avg Score: 13602.76 | Success Rate: 0.08
Episode 14600/100000 | Avg Score: 13931.36 | Success Rate: 0.08
Episode 14700/100000 | Avg Score: 12800.76 | Success Rate: 0.04
Episode 14800/100000 | Avg Score: 14992.76 | Success Rate: 0.12
Episode 14900/100000 | Avg Score: 15482.12 | Success Rate: 0.14
Episode 15000/100000 | Avg Score: 13856.56 | Success Rate: 0.14
Episode 15100/100000 | Avg Score: 14616.60 | Success Rate: 0.12
Episode 15200/100000 | Avg Score: 13210.48 | Success Rate: 0.04
Episode 15300/100000 | Avg Score: 13605.80 | Success Rate: 0.07
Episode 15400/100000 | Avg Score: 13435.68 | Success Rate: 0.11
Episode 15500/100000 | Avg Score: 14336.00 | Success Rate: 0.11
Episode 15600/100000 | Avg Score: 14817.80 | Success Rate: 0.11
Episode 15700/100000 | Avg Score: 14421.04 | Success Rate: 0.07
Episode 15800/100000 | Avg Score: 14207.20 | Success Rate: 0.07
Episode 15900/100000 | Avg Score: 14335.68 | Success Rate: 0.11
Episode 16000/100000 | Avg Score: 13826.96 | Success Rate: 0.12
Episode 16100/100000 | Avg Score: 15161.36 | Success Rate: 0.19
Episode 16200/100000 | Avg Score: 14390.32 | Success Rate: 0.10
Episode 16300/100000 | Avg Score: 14913.92 | Success Rate: 0.14
Episode 16400/100000 | Avg Score: 14977.72 | Success Rate: 0.14
Episode 16500/100000 | Avg Score: 15075.28 | Success Rate: 0.14
Episode 16600/100000 | Avg Score: 14839.36 | Success Rate: 0.18
Episode 16700/100000 | Avg Score: 15070.64 | Success Rate: 0.14
Episode 16800/100000 | Avg Score: 15402.32 | Success Rate: 0.14
Episode 16900/100000 | Avg Score: 14267.16 | Success Rate: 0.10
Episode 17000/100000 | Avg Score: 15536.84 | Success Rate: 0.12
Episode 17100/100000 | Avg Score: 13956.80 | Success Rate: 0.11
Episode 17200/100000 | Avg Score: 14649.92 | Success Rate: 0.11
Episode 17300/100000 | Avg Score: 14035.96 | Success Rate: 0.14
Episode 17400/100000 | Avg Score: 15403.84 | Success Rate: 0.15
Episode 17500/100000 | Avg Score: 15618.36 | Success Rate: 0.15
Episode 17600/100000 | Avg Score: 16254.36 | Success Rate: 0.12
Episode 17700/100000 | Avg Score: 13463.20 | Success Rate: 0.08
Episode 17800/100000 | Avg Score: 16300.96 | Success Rate: 0.21
Episode 17900/100000 | Avg Score: 15115.20 | Success Rate: 0.16
Episode 18000/100000 | Avg Score: 15113.84 | Success Rate: 0.13
Episode 18100/100000 | Avg Score: 14972.92 | Success Rate: 0.15
Episode 18200/100000 | Avg Score: 14553.76 | Success Rate: 0.08
Episode 18300/100000 | Avg Score: 15751.60 | Success Rate: 0.13
Episode 18400/100000 | Avg Score: 15396.08 | Success Rate: 0.13
Episode 18500/100000 | Avg Score: 13887.76 | Success Rate: 0.14
Episode 18600/100000 | Avg Score: 16130.32 | Success Rate: 0.15
Episode 18700/100000 | Avg Score: 14482.20 | Success Rate: 0.12
Episode 18800/100000 | Avg Score: 15270.56 | Success Rate: 0.14
Episode 18900/100000 | Avg Score: 14987.96 | Success Rate: 0.14
Episode 19000/100000 | Avg Score: 16008.00 | Success Rate: 0.22
Episode 19100/100000 | Avg Score: 15223.68 | Success Rate: 0.15
Episode 19200/100000 | Avg Score: 15952.40 | Success Rate: 0.17
Episode 19300/100000 | Avg Score: 14868.96 | Success Rate: 0.12
Episode 19400/100000 | Avg Score: 16657.80 | Success Rate: 0.20
Episode 19500/100000 | Avg Score: 16060.44 | Success Rate: 0.20
Episode 19600/100000 | Avg Score: 15836.04 | Success Rate: 0.18
Episode 19700/100000 | Avg Score: 15759.52 | Success Rate: 0.14
Episode 19800/100000 | Avg Score: 15712.36 | Success Rate: 0.16
Episode 19900/100000 | Avg Score: 15325.40 | Success Rate: 0.17
Episode 20000/100000 | Avg Score: 16436.04 | Success Rate: 0.23
Episode 20100/100000 | Avg Score: 16701.36 | Success Rate: 0.14
Episode 20200/100000 | Avg Score: 15425.52 | Success Rate: 0.18
Episode 20300/100000 | Avg Score: 16069.16 | Success Rate: 0.20
Episode 20400/100000 | Avg Score: 16829.68 | Success Rate: 0.22
Episode 20500/100000 | Avg Score: 17156.72 | Success Rate: 0.22
Episode 20600/100000 | Avg Score: 15915.24 | Success Rate: 0.17
Episode 20700/100000 | Avg Score: 17988.12 | Success Rate: 0.22
Episode 20800/100000 | Avg Score: 17502.72 | Success Rate: 0.27
Episode 20900/100000 | Avg Score: 14725.12 | Success Rate: 0.11
Episode 21000/100000 | Avg Score: 16569.92 | Success Rate: 0.24
Episode 21100/100000 | Avg Score: 16242.72 | Success Rate: 0.18
Episode 21200/100000 | Avg Score: 16067.84 | Success Rate: 0.19
Episode 21300/100000 | Avg Score: 16004.32 | Success Rate: 0.16
Episode 21400/100000 | Avg Score: 16133.56 | Success Rate: 0.17
Episode 21500/100000 | Avg Score: 16149.80 | Success Rate: 0.20
Episode 21600/100000 | Avg Score: 17044.44 | Success Rate: 0.24
Episode 21700/100000 | Avg Score: 18238.52 | Success Rate: 0.31
Episode 21800/100000 | Avg Score: 17332.56 | Success Rate: 0.26
Episode 21900/100000 | Avg Score: 17853.64 | Success Rate: 0.26
Episode 22000/100000 | Avg Score: 17381.00 | Success Rate: 0.24
Episode 22100/100000 | Avg Score: 16624.92 | Success Rate: 0.21
Episode 22200/100000 | Avg Score: 15824.20 | Success Rate: 0.22
Episode 22300/100000 | Avg Score: 17143.76 | Success Rate: 0.23
Episode 22400/100000 | Avg Score: 17703.20 | Success Rate: 0.24
Episode 22500/100000 | Avg Score: 17915.72 | Success Rate: 0.30
Episode 22600/100000 | Avg Score: 17502.92 | Success Rate: 0.27
Episode 22700/100000 | Avg Score: 15919.20 | Success Rate: 0.21
Episode 22800/100000 | Avg Score: 17871.56 | Success Rate: 0.28
Episode 22900/100000 | Avg Score: 16757.84 | Success Rate: 0.26
Episode 23000/100000 | Avg Score: 16943.16 | Success Rate: 0.27
Episode 23100/100000 | Avg Score: 15912.80 | Success Rate: 0.18
Episode 23200/100000 | Avg Score: 16717.52 | Success Rate: 0.22
Episode 23300/100000 | Avg Score: 15555.60 | Success Rate: 0.19
Episode 23400/100000 | Avg Score: 16904.52 | Success Rate: 0.24
Episode 23500/100000 | Avg Score: 19468.60 | Success Rate: 0.32
Episode 23600/100000 | Avg Score: 18019.32 | Success Rate: 0.27
Episode 23700/100000 | Avg Score: 16805.92 | Success Rate: 0.26
Episode 23800/100000 | Avg Score: 17773.84 | Success Rate: 0.29
Episode 23900/100000 | Avg Score: 17841.32 | Success Rate: 0.22
Episode 24000/100000 | Avg Score: 16620.40 | Success Rate: 0.21
Episode 24100/100000 | Avg Score: 16101.96 | Success Rate: 0.18
Episode 24200/100000 | Avg Score: 18716.72 | Success Rate: 0.29
Episode 24300/100000 | Avg Score: 16334.60 | Success Rate: 0.25
Episode 24400/100000 | Avg Score: 18143.68 | Success Rate: 0.28
Episode 24500/100000 | Avg Score: 17467.32 | Success Rate: 0.28
Episode 24600/100000 | Avg Score: 17276.52 | Success Rate: 0.22
Episode 24700/100000 | Avg Score: 17472.88 | Success Rate: 0.28
Episode 24800/100000 | Avg Score: 17264.40 | Success Rate: 0.30
Episode 24900/100000 | Avg Score: 15035.52 | Success Rate: 0.16
Episode 25000/100000 | Avg Score: 17585.76 | Success Rate: 0.26
Episode 25100/100000 | Avg Score: 18675.88 | Success Rate: 0.33
Episode 25200/100000 | Avg Score: 17211.56 | Success Rate: 0.25
Episode 25300/100000 | Avg Score: 17692.32 | Success Rate: 0.22
Episode 25400/100000 | Avg Score: 17998.56 | Success Rate: 0.22
Episode 25500/100000 | Avg Score: 17911.00 | Success Rate: 0.26
Episode 25600/100000 | Avg Score: 17423.88 | Success Rate: 0.30
Episode 25700/100000 | Avg Score: 17302.44 | Success Rate: 0.27
Episode 25800/100000 | Avg Score: 17878.84 | Success Rate: 0.29
Episode 25900/100000 | Avg Score: 16054.48 | Success Rate: 0.22
Episode 26000/100000 | Avg Score: 17459.64 | Success Rate: 0.25
Episode 26100/100000 | Avg Score: 15908.32 | Success Rate: 0.19
Episode 26200/100000 | Avg Score: 19265.12 | Success Rate: 0.35
Episode 26300/100000 | Avg Score: 17322.40 | Success Rate: 0.26
Episode 26400/100000 | Avg Score: 18654.40 | Success Rate: 0.27
Episode 26500/100000 | Avg Score: 17649.76 | Success Rate: 0.26
Episode 26600/100000 | Avg Score: 18281.96 | Success Rate: 0.23
Episode 26700/100000 | Avg Score: 18328.32 | Success Rate: 0.31
Episode 26800/100000 | Avg Score: 18616.36 | Success Rate: 0.32
Episode 26900/100000 | Avg Score: 19380.44 | Success Rate: 0.32
Episode 27000/100000 | Avg Score: 17520.92 | Success Rate: 0.23
Episode 27100/100000 | Avg Score: 18441.96 | Success Rate: 0.32
Episode 27200/100000 | Avg Score: 18858.44 | Success Rate: 0.27
Episode 27300/100000 | Avg Score: 18822.84 | Success Rate: 0.32
Episode 27400/100000 | Avg Score: 19263.04 | Success Rate: 0.31
Episode 27500/100000 | Avg Score: 17910.92 | Success Rate: 0.28
Episode 27600/100000 | Avg Score: 16261.92 | Success Rate: 0.22
Episode 27700/100000 | Avg Score: 17580.96 | Success Rate: 0.27
Episode 27800/100000 | Avg Score: 16984.44 | Success Rate: 0.23
Episode 27900/100000 | Avg Score: 18657.40 | Success Rate: 0.31
Episode 28000/100000 | Avg Score: 18526.16 | Success Rate: 0.31
Episode 28100/100000 | Avg Score: 16670.48 | Success Rate: 0.26
Episode 28200/100000 | Avg Score: 18487.76 | Success Rate: 0.30
Episode 28300/100000 | Avg Score: 16762.44 | Success Rate: 0.24
Episode 28400/100000 | Avg Score: 19353.32 | Success Rate: 0.30
Episode 28500/100000 | Avg Score: 19601.08 | Success Rate: 0.33
Episode 28600/100000 | Avg Score: 19113.72 | Success Rate: 0.33
Episode 28700/100000 | Avg Score: 19675.36 | Success Rate: 0.31
Episode 28800/100000 | Avg Score: 17412.32 | Success Rate: 0.25
Episode 28900/100000 | Avg Score: 18590.00 | Success Rate: 0.33
Episode 29000/100000 | Avg Score: 17695.00 | Success Rate: 0.29
Episode 29100/100000 | Avg Score: 17757.08 | Success Rate: 0.26
Episode 29200/100000 | Avg Score: 17089.12 | Success Rate: 0.25
Episode 29300/100000 | Avg Score: 17978.28 | Success Rate: 0.29
Episode 29400/100000 | Avg Score: 19115.44 | Success Rate: 0.32
Episode 29500/100000 | Avg Score: 18835.08 | Success Rate: 0.33
Episode 29600/100000 | Avg Score: 17633.48 | Success Rate: 0.27
Episode 29700/100000 | Avg Score: 19103.96 | Success Rate: 0.33
Episode 29800/100000 | Avg Score: 16360.04 | Success Rate: 0.25
Episode 29900/100000 | Avg Score: 17862.84 | Success Rate: 0.26
Episode 30000/100000 | Avg Score: 18282.32 | Success Rate: 0.30
Episode 30100/100000 | Avg Score: 19452.72 | Success Rate: 0.38
Episode 30200/100000 | Avg Score: 17393.84 | Success Rate: 0.23
Episode 30300/100000 | Avg Score: 18979.16 | Success Rate: 0.33
Episode 30400/100000 | Avg Score: 19054.40 | Success Rate: 0.37
Episode 30500/100000 | Avg Score: 17882.64 | Success Rate: 0.31
Episode 30600/100000 | Avg Score: 18532.92 | Success Rate: 0.35
Episode 30700/100000 | Avg Score: 18751.76 | Success Rate: 0.33
Episode 30800/100000 | Avg Score: 17657.36 | Success Rate: 0.30
Episode 30900/100000 | Avg Score: 17429.32 | Success Rate: 0.29
Episode 31000/100000 | Avg Score: 18558.68 | Success Rate: 0.27
Episode 31100/100000 | Avg Score: 19298.68 | Success Rate: 0.38
Episode 31200/100000 | Avg Score: 20492.52 | Success Rate: 0.43
Episode 31300/100000 | Avg Score: 20507.68 | Success Rate: 0.35
Episode 31400/100000 | Avg Score: 18941.84 | Success Rate: 0.29
Episode 31500/100000 | Avg Score: 16904.08 | Success Rate: 0.25
Episode 31600/100000 | Avg Score: 16629.80 | Success Rate: 0.27
Episode 31700/100000 | Avg Score: 17833.08 | Success Rate: 0.27
Episode 31800/100000 | Avg Score: 17106.36 | Success Rate: 0.22
Episode 31900/100000 | Avg Score: 20944.24 | Success Rate: 0.41
Episode 32000/100000 | Avg Score: 17135.64 | Success Rate: 0.23
Episode 32100/100000 | Avg Score: 18510.88 | Success Rate: 0.32
Episode 32200/100000 | Avg Score: 19994.60 | Success Rate: 0.39
Episode 32300/100000 | Avg Score: 19551.28 | Success Rate: 0.35
Episode 32400/100000 | Avg Score: 18962.92 | Success Rate: 0.30
Episode 32500/100000 | Avg Score: 16964.20 | Success Rate: 0.26
Episode 32600/100000 | Avg Score: 19429.76 | Success Rate: 0.32
Episode 32700/100000 | Avg Score: 19015.96 | Success Rate: 0.30
Episode 32800/100000 | Avg Score: 19176.40 | Success Rate: 0.31
Episode 32900/100000 | Avg Score: 17986.16 | Success Rate: 0.32
Episode 33000/100000 | Avg Score: 18753.04 | Success Rate: 0.33
Episode 33100/100000 | Avg Score: 18606.48 | Success Rate: 0.34
Episode 33200/100000 | Avg Score: 18457.72 | Success Rate: 0.30
Episode 33300/100000 | Avg Score: 19164.92 | Success Rate: 0.32
Episode 33400/100000 | Avg Score: 19057.76 | Success Rate: 0.34
Episode 33500/100000 | Avg Score: 20107.32 | Success Rate: 0.37
Episode 33600/100000 | Avg Score: 18974.00 | Success Rate: 0.33
Episode 33700/100000 | Avg Score: 20171.68 | Success Rate: 0.37
Episode 33800/100000 | Avg Score: 19236.56 | Success Rate: 0.33
Episode 33900/100000 | Avg Score: 18831.00 | Success Rate: 0.28
Episode 34000/100000 | Avg Score: 18762.16 | Success Rate: 0.31
Episode 34100/100000 | Avg Score: 18162.32 | Success Rate: 0.29
Episode 34200/100000 | Avg Score: 18734.76 | Success Rate: 0.28
Episode 34300/100000 | Avg Score: 18223.40 | Success Rate: 0.28
Episode 34400/100000 | Avg Score: 20058.56 | Success Rate: 0.36
Episode 34500/100000 | Avg Score: 17188.60 | Success Rate: 0.25
Episode 34600/100000 | Avg Score: 18202.28 | Success Rate: 0.30
